airport,Roanoke Regional/Woodrum Field,ROA,"Roanoke, VA"
airport,Asheville Regional,AVL,"Asheville, NC"
airport,Phoenix-Mesa Gateway,IWA,"Phoenix, AZ"
airport,"Medford, OR",MFR,"Medford, OR"
airport,Jackson Hole,JAC,"Jackson, WY"
airport,Missoula International,MSO,"Missoula, MT"
airport,Mobile Regional,MOB,"Mobile, AL"
airport,Outagamie County Regional,ATW,"Appleton, WI"
airport,Rapid City Regional,RAP,"Rapid City, SD"
airport,Fort Wayne International,FWA,"Fort Wayne, IN"
airport,Tri-Cities,PSC,"Pasco, WA"
airport,Central IL Regional Airport at Bloomington-Normal,BMI,"Bloomington/Normal, IL"
airport,Shreveport Regional,SHV,"Shreveport, LA"
airport,"Peoria, IL",PIA,"Peoria, IL"
airport,Yeager,CRW,"Charleston, WV"
airport,Key West International,EYW,"Key West, FL"
airport,Robert Gray AAF,GRK,"Fort Hood/Killeen, TX"
airport,Fayetteville Regional/Grannis Field,FAY,"Fayetteville, NC"
airport,Grand Junction Regional,GJT,"Grand Junction, CO"
airport,Rafael Hernandez,BQN,"Aguadilla, PR"
airport,Roberts Field,RDM,"Redmond, OR"
airport,Tri-Cities Regional TN/VA,TRI,"Bristol/Johnson/Kingsport, TN"
airport,Aspen-Pitkin County/Sardy Field,ASE,"Aspen, CO"
airport,Lafayette Regional,LFT,"Lafayette, LA"
airport,Nantucket Memorial,ACK,"Nantucket, MA"
airport,Wilkes-Barre/Scranton International,AVP,"Wilkes-Barre/Scranton, PA"
airport,Daytona Beach International,DAB,"Daytona Beach, FL"
airport,Augusta Regional at Bush Field,AGS,"Augusta, GA"
airport,Stewart International,SWF,"Newburgh, NY"
airport,Boulder City Municipal,BVU,"Boulder City, NV"
airport,Monterey Peninsula,MRY,"Monterey, CA"
airport,Bismarck Municipal,BIS,"Bismarck, ND"
airport,Eagle County Regional,EGE,"Eagle, CO"
airport,Charlottesville-Albemarle,CHO,"Charlottesville, VA"
airport,Cherry Capital,TVC,"Traverse City, MI"
airport,Henry E Rohlsen,STX,"Christiansted, VI"
airport,Montgomery Regional (Dannelly Field),MGM,"Montgomery, AL"
airport,Glacier Park International,GPI,"Kalispell, MT"
airport,Alexandria International,AEX,"Alexandria, LA"
