"airports","NYC","New York, NY","New York","NY"
"airports","BGM","Greater Binghamton/Edwin A Link Field","Binghamton, NY","Binghamton","NY"
"airports","GFK","Grand Forks International","Grand Forks, ND","Grand Forks","ND"
"airports","KTN","Ketchikan International","Ketchikan, AK","Ketchikan","AK"
"airports","RFD","Chicago/Rockford International","Chicago/Rockford, IL","Chicago/Rockford","IL"
"airports","TOL","Toledo Express","Toledo, OH","Toledo","OH"
"airports","MTJ","Montrose Regional","Montrose, CO","Montrose","CO"
"airports","STS","Charles M. Schulz - Sonoma County","Santa Rosa, CA","Santa Rosa","CA"
"airports","PSE","Mercedita","Ponce, PR","Ponce","PR"
"airports","HLN","Helena Regional","Helena, MT","Helena","MT"
"airports","CMI","University of Illinois-Willard","Champaign/Urbana, IL","Champaign/Urbana","IL"
"airports","LYH","Lynchburg Regional/Preston Glenn Field","Lynchburg, VA","Lynchburg","VA"
"airports","MLU","Monroe Regional","Monroe, LA","Monroe","LA"
"airports","ENA","Kenai Municipal","Kenai, AK","Kenai","AK"
"airports","ABI","Abilene Regional","Abilene, TX","Abilene","TX"
"airports","BRO","Brownsville/South Padre Island International","Brownsville, TX","Brownsville","TX"
"airports","ADQ","Kodiak","Kodiak, AK","Kodiak","AK"
"airports","NYL","Yuma MCAS/Yuma International","Yuma, AZ","Yuma","AZ"
"airports","FLO","Florence Regional","Florence, SC","Florence","SC"
"airports","FSM","Fort Smith Regional","Fort Smith, AR","Fort Smith","AR"
"airports","CPR","Casper/Natrona County International","Casper, WY","Casper","WY"
"airports","TYR","Tyler Pounds Regional","Tyler, TX","Tyler","TX"
"airports","CLL","Easterwood Field","College Station, TX","College Station","TX"
"airports","PBG","Plattsburgh International","Plattsburgh, NY","Plattsburgh","NY"
"airports","LAW","Lawton-Fort Sill Regional","Lawton, OK","Lawton","OK"
"airports","MOT","Minot International","Minot, ND","Minot","ND"
"airports","HXD","Hilton Head","Hilton Head Island, SC","Hilton Head Island","SC"
"airports","FLG","Flagstaff Pulliam","Flagstaff, AZ","Flagstaff","AZ"
"airports","ACT","Waco Regional","Waco, TX","Waco","TX"
"airports","MKK","Molokai","Kaunakakai, HI","Kaunakakai","HI"
"airports","PGD","Charlotte County","Punta Gorda, FL","Punta Gorda","FL"
"airports","1G4","Grand Canyon West","Peach Springs, AZ","Peach Springs","AZ"
"airports","SIT","Sitka Rocky Gutierrez","Sitka, AK","Sitka","AK"
"airports","LWS","Lewiston-Nez Perce County","Lewiston, ID","Lewiston","ID"
"airports","SJT","San Angelo Regional/Mathis Field","San Angelo, TX","San Angelo","TX"
"airports","YKM","Yakima Air Terminal/McAllister Field","Yakima, WA","Yakima","WA"
"airports","SBY","Salisbury-Ocean City Wicomico Regional","Salisbury, MD","Salisbury","MD"
"airports","PGV","Pitt-Greenville","Greenville, NC","Greenville","NC"
"airports","SPI","Abraham Lincoln Capital","Springfield, IL","Springfield","IL"
"airports","OTZ","Ralph Wien Memorial","Kotzebue, AK","Kotzebue","AK"
"airports","LCH","Lake Charles Regional","Lake Charles, LA","Lake Charles","LA"
"airports","OME","Nome","Nome, AK","Nome","AK"
"airports","RDD","Redding Municipal","Redding, CA","Redding","CA"
"airports","SAW","Sawyer International","Marquette, MI","Marquette","MI"
"airports","EAT","Pangborn Memorial","Wenatchee, WA","Wenatchee","WA"
"airports","SUN","Friedman Memorial","Hailey, ID","Hailey","ID"
"airports","CSG","Columbus Metropolitan","Columbus, GA","Columbus","GA"
"airports","SPS","Sheppard AFB/Wichita Falls Municipal","Wichita Falls, TX","Wichita Falls","TX"
"airports","SMX","Santa Maria Public/Capt. G Allan Hancock Field","Santa Maria, CA","Santa Maria","CA"
"airports","PPG","Pago Pago International","Pago Pago, AS","Pago Pago","AS"
"airports","LNY","Lanai","Lanai City, HI","Lanai City","HI"
"airports","MVY","Marthas Vineyard","Vineyard Haven, MA","Vineyard Haven","MA"
"airports","GUC","Gunnison-Crested Butte Regional","Gunnison, CO","Gunnison","CO"
"airports","DHN","Dothan Regional","Dothan, AL","Dothan","AL"
"airports","VLD","Valdosta Regional","Valdosta, GA","Valdosta","GA"
"airports","AKN","King Salmon","King Salmon, AK","King Salmon","AK"
"airports","BRW","Wiley Post-Will Rogers Memorial","Barrow, AK","Barrow","AK"
"airports","DBQ","Dubuque Regional","Dubuque, IA","Dubuque","IA"
"airports","SGU","St George Municipal","St. George, UT","St. George","UT"
"airports","HOM","Homer","Homer, AK","Homer","AK"
"airports","ROW","Roswell International Air Center","Roswell, NM","Roswell","NM"
"airports","GTR","Golden Triangle Regional","Columbus/W Point/Starkville, MS","Columbus/W Point/Starkville","MS"
"airports","BFI","Boeing Field/King County International","Seattle, WA","Seattle","WA"
"airports","ALW","Walla Walla Regional","Walla Walla, WA","Walla Walla","WA"
"airports","SUX","Sioux Gateway/Col. Bud Day Field","Sioux City, IA","Sioux City","IA"
"airports","ABY","Southwest Georgia Regional","Albany, GA","Albany","GA"
"airports","HVN","Tweed-New Haven","New Haven, CT","New Haven","CT"
"airports","PUW","Pullman/Moscow Regional","Pullman/Moscow,Id, WA","Pullman/Moscow"
"airports","SCC","Deadhorse","Deadhorse, AK","Deadhorse","AK"
"airports","FNL","Fort Collins-Loveland Municipal","Fort Collins/Loveland, CO","Fort Collins/Loveland","CO"
"airports","PGA","Page Municipal","Page, AZ","Page","AZ"
"airports","DLG","Dillingham","Dillingham, AK","Dillingham","AK"
"airports","SCK","Stockton Metropolitan","Stockton, CA","Stockton","CA"
"airports","BQK","Brunswick Golden Isles","Brunswick, GA","Brunswick","GA"
"airports","TWF","Joslin Field - Magic Valley Regional","Twin Falls, ID","Twin Falls","ID"
"airports","GCC","Gillette-Campbell County","Gillette, WY","Gillette","WY"
"airports","COU","Columbia Regional","Columbia, MO","Columbia","MO"
"airports","TXK","Texarkana Regional-Webb Field","Texarkana, AR","Texarkana","AR"
"airports","RHI","Rhinelander-Oneida County","Rhinelander, WI","Rhinelander","WI"
"airports","DUT","Unalaska","Unalaska, AK","Unalaska","AK"
"airports","COD","Yellowstone Regional","Cody, WY","Cody","WY"
"airports","VGT","North Las Vegas","Las Vegas, NV","Las Vegas","NV"
"airports","GRO","Rota International","Rota Island, MP","Rota Island","MP"
"airports","MOD","Modesto City County-Harry Sham Field","Modesto, CA","Modesto","CA"
"airports","BTM","Bert Mooney","Butte, MT","Butte","MT"
"airports","CRQ","McClellan-Palomar","Carlsbad, CA","Carlsbad","CA"
"airports","MHK","Manhattan Regional","Manhattan, KS","Manhattan","KS"
"airports","GGG","East Texas Regional","Longview, TX","Longview","TX"
"airports","CMX","Houghton County Memorial","Hancock, MI","Hancock","MI"
"airports","PLN","Pellston Regional Airport of Emmet County","Pellston, MI","Pellston","MI"
"airports","CIC","Chico Municipal","Chico, CA","Chico","CA"
"airports","SIG","Fernando Luis Ribas Dominicci","San Juan, PR","San Juan","PR"
"airports","OTH","Southwest Oregon Regional","North Bend, OR","North Bend","OR"
"airports","ALO","Waterloo Regional","Waterloo, IA","Waterloo","IA"
"airports","BJI","Bemidji Regional","Bemidji, MN","Bemidji","MN"
"airports","BPT","Jack Brooks Regional","Beaumont/Port Arthur, TX","Beaumont/Port Arthur","TX"
"airports","ABR","Aberdeen Regional","Aberdeen, SD","Aberdeen","SD"
"airports","PIH","Pocatello Regional","Pocatello, ID","Pocatello","ID"
"airports","VQS","Antonio Rivera Rodriguez","Isla De Vieques, PR","Isla De Vieques","PR"
"airports","EKO","Elko Regional","Elko, NV","Elko","NV"
"airports","TNI","Tinian International","Tinian Island, MP","Tinian Island","MP"
"airports","GRI","Central Nebraska Regional","Grand Island, NE","Grand Island","NE"
"airports","LMT","Klamath Falls","Klamath Falls, OR","Klamath Falls","OR"
"airports","IPT","Williamsport Regional","Williamsport, PA","Williamsport","PA"
"airports","RKS","Rock Springs-Sweetwater County","Rock Springs, WY","Rock Springs","WY"
"airports","MEI","Key Field","Meridian, MS","Meridian","MS"
"airports","PAH","Barkley Regional","Paducah, KY","Paducah","KY"
"airports","PSG","Petersburg James A Johnson","Petersburg, AK","Petersburg","AK"
"airports","YNG","Youngstown-Warren Regional","Youngstown/Warren, OH","Youngstown/Warren","OH"
"airports","ANI","Aniak","Aniak, AK","Aniak","AK"
"airports","MKG","Muskegon County","Muskegon, MI","Muskegon","MI"
"airports","INL","Falls International","International Falls, MN","International Falls","MN"
"airports","LBE","Arnold Palmer Regional","Latrobe, PA","Latrobe","PA"
"airports","BRD","Brainerd Lakes Regional","Brainerd, MN","Brainerd","MN"
"airports","CVX","Charlevoix Municipal","Charlevoix, MI","Charlevoix","MI"
"airports","CDV","Merle K (Mudhole) Smith","Cordova, AK","Cordova","AK"
"airports","LHD","Lake Hood","Anchorage, AK","Anchorage","AK"
"airports","RKD","Knox County Regional","Rockland, ME","Rockland","ME"
"airports","VDZ","Valdez Pioneer Field","Valdez, AK","Valdez","AK"
"airports","STC","St. Cloud Regional","St. Cloud, MN","St. Cloud","MN"
"airports","RIW","Riverton Regional","Riverton, WY","Riverton","WY"
"airports","SHR","Sheridan County","Sheridan, WY","Sheridan","WY"
"airports","PIR","Pierre Regional","Pierre, SD","Pierre","SD"
"airports","MBA","Manokotak","Manokotak, AK","Manokotak","AK"
"airports","PQI","Northern Maine Regional Airport at Presque Isle","Presque Isle, ME","Presque Isle","ME"
"airports","DRT","Del Rio International","Del Rio, TX","Del Rio","TX"
"airports","HGR","Hagerstown Regional-Richard A Henson Field","Hagerstown, MD","Hagerstown","MD"
"airports","CLM","William R Fairchild International","Port Angeles, WA","Port Angeles","WA"
"airports","TUP","Tupelo Regional","Tupelo, MS","Tupelo","MS"
"airports","EAU","Chippewa Valley Regional","Eau Claire, WI","Eau Claire","WI"
"airports","CIU","Chippewa County International","Sault Ste. Marie, MI","Sault Ste. Marie","MI"
"airports","PIB","Hattiesburg-Laurel Regional","Hattiesburg/Laurel, MS","Hattiesburg/Laurel","MS"
"airports","FHR","Friday Harbor","Friday Harbor, WA","Friday Harbor","WA"
